web-scraper-order,web-scraper-start-url,pagination,product_url,product_url-href,category,sub-categories,item_reviewed,price,image_url-src
"1646842723-4216","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=38","Turquoise Embossed Ball Bath Fizzer","https://www.primark.com/en/all-products/cosmetics/beauty-routine/soaps-scrubs/turquoise-embossed-ball-bath-fizzer/p/134418134","makeup & cosmetics","[{""sub-categories"":""makeup sets & beauty products""},{""sub-categories"":""soaps, scrubs & bath essentials""}]","Turquoise Embossed Ball Bath Fizzer","£1.00","https://primedia.primark.com/i/primark/134418134-01?w=1000&h=1000&img404=missing_product&v=1646842719823&locale=en-*,*"
"1646840987-3863","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=31","Natural Rattan Tall Standing Shelves","https://www.primark.com/en/all-products/homeware/home-furnishings/home-storage/natural-rattan-tall-standing-shelves/p/210099154","homeware","[{""sub-categories"":""home furnishings""},{""sub-categories"":""home storage""}]","Natural Rattan Tall Standing Shelves","£60.00","https://primedia.primark.com/i/primark/210099154-01?w=1000&h=1000&img404=missing_product&v=1646840985318&locale=en-*,*"
"1646836546-3053","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=14","New
                        

                        
		

                            Younger Girl Blue Denim Floral Laser Print Shorts","https://www.primark.com/en/all-products/kids/girls-clothes/age-2-7/younger-girl-blue-denim-floral-laser-print-shorts/p/210190640","kids clothes","[{""sub-categories"":""girls clothes""},{""sub-categories"":""girls clothes age 2-7""}]","Younger Girl Blue Denim Floral Laser Print Shorts","£7.00","https://primedia.primark.com/i/primark/210190640-01?w=1000&h=1000&img404=missing_product&v=1646836543659&locale=en-*,*"
"1646835465-2832","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=10","New
                        

                        
		

                            Baby Girl Lilac Joggers","https://www.primark.com/en/all-products/kids/baby-newborn-clothes/baby-girl-clothes/baby-girl-lilac-joggers/p/210185092","kids clothes","[{""sub-categories"":""baby & newborn clothes""},{""sub-categories"":""baby girl clothes""}]","Baby Girl Lilac Joggers","£3.00","https://primedia.primark.com/i/primark/210185092-01?w=1000&h=1000&img404=missing_product&v=1646835462326&locale=en-*,*"
"1646835156-2769","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=8","New
                        

                        
		

                            Pink Crystal Bath Fizzer","https://www.primark.com/en/all-products/cosmetics/beauty-routine/soaps-scrubs/pink-crystal-bath-fizzer/p/210199720","makeup & cosmetics","[{""sub-categories"":""makeup sets & beauty products""},{""sub-categories"":""soaps, scrubs & bath essentials""}]","Pink Crystal Bath Fizzer","£1.00","https://primedia.primark.com/i/primark/210199720-01?w=1000&h=1000&img404=missing_product&v=1646835152363&locale=en-*,*"
"1646841588-3985","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=34","Mixed Colour Dot Print Thongs 5 Pack","https://www.primark.com/en/all-products/womenswear/clothing/underwear/lace-brazilian/mixed-colour-dot-print-thongs-5-pack/p/210071010","all women's","[{""sub-categories"":""clothing""},{""sub-categories"":""lingerie & underwear""},{""sub-categories"":""briefs & knickers""}]","Mixed Colour Dot Print Thongs 5 Pack","£3.50","https://primedia.primark.com/i/primark/210071010-01?w=1000&h=1000&img404=missing_product&v=1646841584621&locale=en-*,*"
"1646838313-3407","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=21","Christmas Gifting Letter S Bath Fizzer","https://www.primark.com/en/all-products/cosmetics/christmas-gifting-letter-s-bath-fizzer/p/210101007","makeup & cosmetics","[]","Christmas Gifting Letter S Bath Fizzer","£1.50","https://primedia.primark.com/i/primark/210101007-01?w=1000&h=1000&img404=missing_product&v=1646838310682&locale=en-*,*"
"1646839220-3567","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=25","Gold Plated Two Row Pendant Necklace","https://www.primark.com/en/all-products/womenswear/accessories/jewellery/chains-chokers/gold-plated-two-row-pendant-necklace/p/210133039","all women's","[{""sub-categories"":""accessories""},{""sub-categories"":""necklaces, earrings & rings""},{""sub-categories"":""necklaces""}]","Gold Plated Two Row Pendant Necklace","£6.00","https://primedia.primark.com/i/primark/210133039-01?w=1000&h=1000&img404=missing_product&v=1646839216753&locale=en-*,*"
"1646843971-4463","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=43","Baby Girl Grey Patterned Sweat Dress","https://www.primark.com/en/all-products/kids/baby-newborn-clothes/baby-girl-clothes/dresses/baby-girl-grey-patterned-sweat-dress/p/133425544","kids clothes","[{""sub-categories"":""baby & newborn clothes""},{""sub-categories"":""baby girl clothes""},{""sub-categories"":""baby girl dresses & playsuits""}]","Baby Girl Grey Patterned Sweat Dress","£6.00","https://primedia.primark.com/i/primark/133425544-01?w=1000&h=1000&img404=missing_product&v=1646843968009&locale=en-*,*"
"1646833862-2509","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=3","New
                        

                        
		

                            Mixed Colour Dome Ring 3 Pack","https://www.primark.com/en/all-products/womenswear/accessories/jewellery/ring-sets/mixed-colour-dome-ring-3-pack/p/210332047","all women's","[{""sub-categories"":""accessories""},{""sub-categories"":""necklaces, earrings & rings""},{""sub-categories"":""rings""}]","Mixed Colour Dome Ring 3 Pack","£3.00","https://primedia.primark.com/i/primark/210332047-01?w=1000&h=1000&img404=missing_product&v=1646833860711&locale=en-*,*"
"1646839641-3649","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=27","Black Thermolite Footless Tights","https://www.primark.com/en/all-products/womenswear/clothing/socks-tights/black-thermolite-footless-tights/p/210118348","all women's","[{""sub-categories"":""clothing""},{""sub-categories"":""socks & tights""}]","Black Thermolite Footless Tights","£8.00","https://primedia.primark.com/i/primark/210118348-01?w=1000&h=1000&img404=missing_product&v=1646839637722&locale=en-*,*"
"1646843209-4311","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=40","Blue Printed Geometric Pattern Tie Waist Shorts","https://www.primark.com/en/all-products/menswear/mens-clothing/swim-trunks/blue-printed-geometric-pattern-tie-waist-shorts/p/134137098","all men's","[{""sub-categories"":""clothing""},{""sub-categories"":""swimwear""}]","Blue Printed Geometric Pattern Tie Waist Shorts","£5.00","https://primedia.primark.com/i/primark/134137098-01?w=1000&h=1000&img404=missing_product&v=1646843207077&locale=en-*,*"
"1646839039-3532","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=24","Burgundy Classic Canvas Trainers","https://www.primark.com/en/all-products/womenswear/shoes-boots/running-sneakers/burgundy-classic-canvas-trainers/p/210150636","all women's","[{""sub-categories"":""shoes & boots""},{""sub-categories"":""trainers""}]","Burgundy Classic Canvas Trainers","£6.00","https://primedia.primark.com/i/primark/210150636-01?w=1000&h=1000&img404=missing_product&v=1646839036908&locale=en-*,*"
"1646841367-3940","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=33","Beige Design Teatowels 4 Pack","https://www.primark.com/en/all-products/homeware/shop-by-room/itchenware-tableware/beige-design-teatowels-4-pack/p/210071941","homeware","[{""sub-categories"":""all homeware""},{""sub-categories"":""kitchen & dining""}]","Beige Design Teatowels 4 Pack","£4.00","https://primedia.primark.com/i/primark/210071941-01?w=1000&h=1000&img404=missing_product&v=1646841364519&locale=en-*,*"
"1646837736-3292","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=19","Black Extra Long Multi Wick Tray Candle","https://www.primark.com/en/all-products/homeware/home-furnishings/candles-holders/black-extra-long-multi-wick-tray-candle/p/210086390","homeware","[{""sub-categories"":""home furnishings""},{""sub-categories"":""candles & scented candles""}]","Black Extra Long Multi Wick Tray Candle","£12.00","https://primedia.primark.com/i/primark/210086390-01?w=1000&h=1000&img404=missing_product&v=1646837733614&locale=en-*,*"
"1646836427-3028","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=14","Black Seamfree Crop Top","https://www.primark.com/en/all-products/womenswear/clothing/gym-clothes/black-seamfree-crop-top/p/210168678","all women's","[{""sub-categories"":""clothing""},{""sub-categories"":""gym clothes""}]","Black Seamfree Crop Top","£5.00","https://primedia.primark.com/i/primark/210168678-01?w=1000&h=1000&img404=missing_product&v=1646836424545&locale=en-*,*"
"1646840065-3733","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=28","Stacey Solomon Silicone Bibs 2 Pack","https://www.primark.com/en/all-products/homeware/shop-by-room/itchenware-tableware/stacey-solomon-silicone-bibs-2-pack/p/210074765","homeware","[{""sub-categories"":""all homeware""},{""sub-categories"":""kitchen & dining""}]","Stacey Solomon Silicone Bibs 2 Pack","£10.00","https://primedia.primark.com/i/primark/210074765-01?w=1000&h=1000&img404=missing_product&v=1646840063509&locale=en-*,*"
"1646839760-3673","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=27","Wooden Clothes Rail","https://www.primark.com/en/all-products/homeware/home-furnishings/home-storage/wooden-clothes-rail/p/210143365","homeware","[{""sub-categories"":""home furnishings""},{""sub-categories"":""home storage""}]","Wooden Clothes Rail","£50.00","https://primedia.primark.com/i/primark/210143365-01?w=1000&h=1000&img404=missing_product&v=1646839756916&locale=en-*,*"
"1646838773-3486","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=23","Disney
							
						

                            Silvertone Disney Mickey Mouse Compact Mirror","https://www.primark.com/en/all-products/cosmetics/accessories/silvertone-disney-mickey-mouse-compact-mirror/p/210096095","makeup & cosmetics","[{""sub-categories"":""beauty accessories""}]","Silvertone Disney Mickey Mouse Compact Mirror","£2.50","https://primedia.primark.com/i/primark/210096095-01?w=1000&h=1000&img404=missing_product&v=1646838771468&locale=en-*,*"
"1646836642-3072","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=15","Navy Paisley Print Premium Lingerie Set","https://www.primark.com/en/all-products/womenswear/clothing/underwear/matching-sets/navy-paisley-print-premium-lingerie-set/p/210107068","all women's","[{""sub-categories"":""clothing""},{""sub-categories"":""lingerie & underwear""},{""sub-categories"":""lingerie & underwear sets""}]","Navy Paisley Print Premium Lingerie Set","£7.00","https://primedia.primark.com/i/primark/210107068-01?w=1000&h=1000&img404=missing_product&v=1646836638613&locale=en-*,*"
"1646840734-3813","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=30","Dark Tuberose Square Boxed Candle","https://www.primark.com/en/all-products/homeware/home-furnishings/candles-holders/dark-tuberose-square-boxed-candle/p/210086379","homeware","[{""sub-categories"":""home furnishings""},{""sub-categories"":""candles & scented candles""}]","Dark Tuberose Square Boxed Candle","£7.00","https://primedia.primark.com/i/primark/210086379-01?w=1000&h=1000&img404=missing_product&v=1646840732085&locale=en-*,*"
"1646836293-3001","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=13","New
                        

                        
		

                            Younger Girl Yellow And Blue Flower Print Deep Cuff Leggings","https://www.primark.com/en/all-products/kids/girls-clothes/age-2-7/younger-girl-yellow-and-blue-flower-print-deep-cuff-leggings/p/210201231","kids clothes","[{""sub-categories"":""girls clothes""},{""sub-categories"":""girls clothes age 2-7""}]","Younger Girl Yellow And Blue Flower Print Deep Cuff Leggings","£3.50","https://primedia.primark.com/i/primark/210201231-01?w=1000&h=1000&img404=missing_product&v=1646836289146&locale=en-*,*"
"1646839789-3679","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=27","Charcoal Dot Pattern Boucle Crew Socks 2 Pack","https://www.primark.com/en/all-products/womenswear/clothing/socks-tights/charcoal-dot-pattern-boucle-crew-socks-2-pack/p/210119347","all women's","[{""sub-categories"":""clothing""},{""sub-categories"":""socks & tights""}]","Charcoal Dot Pattern Boucle Crew Socks 2 Pack","£2.00","https://primedia.primark.com/i/primark/210119347-01?w=1000&h=1000&img404=missing_product&v=1646839786384&locale=en-*,*"
"1646839390-3601","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=26","Goldtone Spiral Hoop Earrings 3 Pack","https://www.primark.com/en/all-products/womenswear/accessories/jewellery/studs-hoops/goldtone-spiral-hoop-earrings-3-pack/p/210174438","all women's","[{""sub-categories"":""accessories""},{""sub-categories"":""necklaces, earrings & rings""},{""sub-categories"":""earrings""}]","Goldtone Spiral Hoop Earrings 3 Pack","£3.00","https://primedia.primark.com/i/primark/210174438-01?w=1000&h=1000&img404=missing_product&v=1646839386876&locale=en-*,*"
"1646837802-3306","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=19","Ps Pink Slogan Gel Eye Mask","https://www.primark.com/en/all-products/cosmetics/accessories/ps-pink-slogan-gel-eye-mask/p/210213860","makeup & cosmetics","[{""sub-categories"":""beauty accessories""}]","Ps Pink Slogan Gel Eye Mask","£2.50","https://primedia.primark.com/i/primark/210213860-01?w=1000&h=1000&img404=missing_product&v=1646837799303&locale=en-*,*"
"1646843523-4372","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=42","Grey Mini Paper Rope Basket","https://www.primark.com/en/all-products/homeware/home-furnishings/home-storage/grey-mini-paper-rope-basket/p/134027786","homeware","[{""sub-categories"":""home furnishings""},{""sub-categories"":""home storage""}]","Grey Mini Paper Rope Basket","£2.00","https://primedia.primark.com/i/primark/134027786-01?w=1000&h=1000&img404=missing_product&v=1646843519721&locale=en-*,*"
"1646833713-2485","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=2","New
                        

                        
		

                            Older Child Blue Gingham Tie Waist Vest","https://www.primark.com/en/all-products/kids/girls-clothes/older/hoodies-t-shirts/older-child-blue-gingham-tie-waist-vest/p/210280850","kids clothes","[{""sub-categories"":""girls clothes""},{""sub-categories"":""older girls clothes""},{""sub-categories"":""older girls tops & hoodies""}]","Older Child Blue Gingham Tie Waist Vest","£7.00","https://primedia.primark.com/i/primark/210280850-01?w=1000&h=1000&img404=missing_product&v=1646833710559&locale=en-*,*"
"1646844308-4531","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=45","PS Pro Camouflage Flawless Matte Concealer 123 Warm","https://www.primark.com/en/all-products/cosmetics/beauty-routine/foundations-powders/ps-pro-camouflage-flawless-matte-concealer-123-warm/p/131631705","makeup & cosmetics","[{""sub-categories"":""makeup sets & beauty products""},{""sub-categories"":""foundation, concealer""}]","PS Pro Camouflage Flawless Matte Concealer 123 Warm","£3.50","https://primedia.primark.com/i/primark/131631705-01?w=1000&h=1000&img404=missing_product&v=1646844305342&locale=en-*,*"
"1646844742-4618","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=47","Navy Plain Acrylic Sweater","https://www.primark.com/en/all-products/menswear/mens-clothing/hoodies-sweatshirts/jumpers-sweaters/navy-plain-acrylic-sweater/p/131961821","all men's","[{""sub-categories"":""clothing""},{""sub-categories"":""hoodies & sweatshirts""},{""sub-categories"":""jumpers & sweaters""}]","Navy Plain Acrylic Sweater","£5.00","https://primedia.primark.com/i/primark/131961821-01?w=1000&h=1000&img404=missing_product&v=1646844738962&locale=en-*,*"
"1646840350-3770","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=29","Blue Penn Sport Backpack","https://www.primark.com/en/all-products/menswear/accessories/backpacks-wallets/blue-penn-sport-backpack/p/210124531","all men's","[{""sub-categories"":""belts, hats & sunglasses""},{""sub-categories"":""bags & wallets""}]","Blue Penn Sport Backpack","£12.00","https://primedia.primark.com/i/primark/210124531-01?w=1000&h=1000&img404=missing_product&v=1646840344320&locale=en-*,*"
